model_name,Overall,GPT4VScore,Average,example_count,ExecRate,TextScore,LayoutScore,TypeScore,ColorScore
gpt-4o,81.30942096270496,81.13399999999992,81.48484192541,472,94.39999999999999,83.48965136541995,91.93523809524,78.75319283413998,71.76128540684006
gpt-4o-mini,71.27319430295499,69.85999999999999,72.68638860591,450,90.0,70.59269523156,85.52772893772001,72.1337847988,62.49134545555999
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_img_revised_html_tag_80k_v2-563,42.79412730968501,41.006,44.58225461937001,439,87.8,40.397452543040025,67.22666666676,36.44441696722,34.26048230046002
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_img_revised_80k_v1-563,40.7342451300875,38.99799999999999,42.47049026017501,418,83.6,39.034790340520026,63.80666666676,34.25921981214,32.78128422128003
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_chart52k_369,37.15140416312999,35.07799999999998,39.224808326259996,443,88.6,34.949044613820014,61.211428571519996,32.47953765077999,28.25922246892
llava-onevision-qwen2-7b-ov-hf,35.41217766351501,33.36000000000003,37.46435532702999,373,74.6,31.730255662179996,50.91777777785999,35.6986925711,31.510695296979982
Qwen2-VL-7B-Instruct,30.567446401447498,28.471999999999994,32.662892802895,329,65.8,25.620102712559994,49.393333333399994,29.928991137499988,25.70914402812001
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_web2code_job_fixed-4000,29.583997206637488,28.339999999999975,30.827994413275,381,76.2,26.58270836084003,49.11000000007999,22.854391786459995,24.764877505719987
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_web2code_rick_760k_v1_2000,29.148535450637496,28.589999999999993,29.707070901274996,360,72.0,26.22773438940001,47.40000000007999,22.69165555888,22.508893656739993
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_web2code_rick_760k_prompt_added_v2_2000,28.257654056920003,27.70000000000001,28.815308113839993,338,67.60000000000001,24.53994879207999,43.660000000099984,23.41216731194,23.64911635124
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_web2code_rick_760k_prompt_added_v2_3000,27.679815523585006,27.192000000000025,28.16763104716999,336,67.2,24.959723433379974,43.95444444451999,21.78657613904,21.969780171739988
Llama-3.2-11B-Vision-Instruct,27.6583782139425,26.536,28.780756427884995,306,61.199999999999996,23.5516024829,38.62666666673999,29.149382324899996,23.795374236999983
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_web2code_rick_760k_v1_3000,26.594947137504995,26.353999999999996,26.83589427500999,330,66.0,24.94094286373999,42.277777777839994,19.910262746959997,20.214593711499994
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_web2code_rick_760k_prompt_added_v2_4000,26.492238648945,25.852000000000004,27.13247729789,336,67.2,24.206811496700002,43.51414141419999,20.286715123799993,20.52224115686001
stage2_llm_2nodes_1e5_web2code_bsz128_1e5_web2code_rick_760k_v1_4000,26.082191964647507,25.64400000000001,26.520383929295,335,67.0,23.57002899578,41.80158730163999,20.14386298564001,20.566056434119993
MiniCPM-V-2_6,22.938359673967504,21.370000000000008,24.506719347934997,239,47.8,19.633459772979997,30.74761904764,27.494646349879993,20.15115222123999
qwen2_vl_coder_mn_only-7b_3072_bsz128_1e3_pretrain_mix_114k_job_3072_805,15.520589728704998,14.659999999999995,16.38117945741,161,32.2,14.804485264959993,23.028571428600003,14.784385251400005,12.90727588468
pretrain_mm_only-7b_3072_bsz128_1e3_mix_data_ocr_code_pretrain_578k_1000,4.428420148332499,4.008,4.848840296664999,68,13.600000000000001,4.370772421299999,6.466666666699999,3.9813108365599996,4.5766112621
qwen2_vl_mm_only-7b_3072_bsz128_1e3_pretrain_llava_stage2_1M_job_7660,4.3354833646525,4.052,4.618966729305001,59,11.799999999999999,3.352986506880001,7.133333333339999,3.9868975468799994,4.002649530120001
qwen2vl,1.88567793063,1.954,1.8173558612600003,21,4.2,1.5393116824600002,2.22666666668,1.9993650793800004,1.5040800165200001
